,Unnamed: 0,GEOID,geoName,geoRegion,geoLON,geoLAT,ISO3,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020
0,0,164,Portugal,EURPOE,-8.467,39.603,PRT,1,52,36,14,24,-15,30,10,2,-10,-5,31,14,-11,6,-3,7,-27,-1,7,-2,-7,36,-20,-15,-2,-13,25,-17,-4,12,-29,-15,-16,-22,15,-4,4,-8,-16,-16,48,-29,2,21,-75,49,-2,0,15,-15,-2,-40,45,-20,30,-27,-6,31,-13,13,-13,20,-17,23,-11,-18,-9,11,20,-28,39,-45,22,-5,-8,27,-22,-5,32,-21,-45,34,18,-34,21,10,-22,-28,81,-62,23,0,-33,33,-14,-3,27,-36,0,34,-10,7,-16,-15,6,-3,31,-24,19,-29,0,36,-7,-16,-3,-13,61,-82
1,1,205,United Kingdom,EURPOE,-2.9,54.16,GBR,1,84,35,35,8,5,6,16,21,-3,-4,3,-7,8,12,7,-7,-15,0,2,1,2,8,3,-21,-2,5,-4,-3,-5,2,0,0,-8,-13,-8,-11,-7,-4,-3,-11,-2,-7,1,-15,-8,5,-5,-9,13,0,-4,-14,-1,15,11,-16,-3,-1,-15,0,5,15,-14,-10,5,5,-2,-1,15,-14,-8,11,-18,8,-10,22,-8,-5,-3,3,1,-1,4,10,2,-4,-21,1,2,8,-7,-7,-12,16,7,8,-8,4,-6,8,0,-7,-12,6,12,-6,-6,1,-5,1,3,-13,13,2,-3,-8,6,-54
2,2,39300,Providence-Warwick, RI-MA,-71.4,41.72,USA,1,60,15,-1,-3,1,8,-4,0,14,-8,-5,-8,14,0,26,-3,-12,-17,15,0,7,5,3,-24,11,-8,13,5,-12,-37,18,19,-40,17,-25,-4,-21,15,-25,15,-1,-6,19,-36,-3,10,8,-8,-18,38,-28,18,-6,-8,7,-33,15,15,-17,18,-16,-10,20,-16,6,5,14,1,-12,-16,-16,18,2,-8,2,8,-6,37,-39,26,-40,34,22,-6,-22,0,17,-17,-1,19,-31,46,-8,-14,5,12,-17,6,13,-4,4,-5,3,2,12,-10,6,3,-12,-13,-12,31,25,-27,5,-23,-3,-68
3,3,14460,Boston-Cambridge-Newton, MA-NH,-71.1,42.56,USA,1,64,4,6,19,2,7,0,0,-5,13,-4,11,19,8,-9,-16,-4,6,0,-9,10,3,-4,4,-15,2,0,-9,-8,-8,-1,8,-11,-15,-8,-19,-15,11,-13,2,-9,1,-19,7,10,5,-8,-1,-8,-6,-7,8,11,-8,-4,-2,-3,-2,20,2,5,-14,3,-7,-13,36,-16,10,-18,10,-19,-10,25,-18,22,4,5,-20,14,17,-22,-5,12,1,-20,8,11,-11,0,13,6,-11,2,11,-11,2,-8,22,-29,25,8,-2,3,-1,-2,2,-7,36,-17,-20,-9,17,-4,2,9,-11,-8,-70
4,4,71,Germany,EURPOE,10.392000000000001,51.11,DEU,1,61,23,40,-4,10,15,6,1,-1,-4,-7,1,20,-5,8,-5,-21,5,0,-1,6,7,-15,2,-7,-13,3,1,0,-6,-17,-12,-5,-28,-2,-2,-15,-22,27,-24,19,-6,-9,-1,5,14,-8,7,-11,-16,-4,9,14,-9,20,-14,-11,36,-38,-20,10,35,-38,1,29,-7,-8,7,-3,9,-27,8,4,-23,29,-3,4,-14,4,-5,21,17,-6,3,-13,-24,-4,12,-12,20,8,24,-8,-15,14,-14,18,-30,0,15,2,12,-20,6,-4,16,-10,-22,34,-10,-2,24,-6,-20,7,-31,31,-39
5,5,47260,Virginia Beach-Norfolk-Newport News, VA-NC,-76.45,36.84,USA,1,72,36,20,1,-32,25,-1,22,5,7,-19,-46,30,17,32,5,-14,-13,-44,13,28,14,28,-8,-5,-14,-10,14,-5,-8,24,-11,-7,-20,-11,-23,16,-11,2,-27,15,-15,-2,-11,43,-56,10,25,-50,37,-64,56,-13,-3,-40,40,13,-34,0,20,3,3,24,-42,11,20,-44,13,22,6,-24,-12,34,3,-3,-34,24,-7,44,-37,0,22,-22,-3,36,20,-25,-8,5,-2,-12,65,-44,-2,-8,-41,46,23,-2,34,-9,-26,-22,15,15,-15,17,-19,39,-21,-22,7,51,-2,-15,0,-26,-68
6,6,19100,Dallas-Fort Worth-Arlington, TX,-97.03,32.82,USA,1,89,22,22,-16,-5,6,33,15,-7,-1,-4,-14,8,26,17,-3,-14,-26,-8,8,22,17,-10,-9,0,11,4,0,13,-14,10,-18,-17,-6,-3,-8,-16,-6,-17,0,-16,5,-9,-9,2,-1,0,-18,19,-13,-19,-5,22,-16,6,15,-15,3,-13,7,-11,11,3,2,2,2,-2,-7,8,-10,15,-3,10,-18,4,2,24,7,-28,17,-8,-1,-13,25,25,-6,13,-13,-21,-12,17,14,-14,4,9,-22,9,18,12,0,-2,9,-17,-9,17,19,-7,-7,-3,-21,-4,20,4,-9,17,-13,-4,-49
7,7,65,France,EURPOE,2.55,46.565,FRA,1,70,26,8,18,-4,14,4,27,-1,-12,0,6,-16,22,33,-33,-7,-3,-15,3,6,-1,14,-4,-18,10,-16,7,-1,-11,-3,-8,-28,-10,-13,2,-22,14,-10,2,-2,1,0,-1,1,-17,6,14,-9,-12,4,-2,6,0,9,-12,-36,52,-8,-14,9,4,-12,-3,-10,5,4,0,18,-21,0,-5,7,6,6,6,-10,-15,5,15,-12,5,9,-15,8,4,-10,4,8,-1,-14,14,0,7,-21,21,-5,-5,-20,25,14,-29,-21,34,-3,-9,-7,12,0,17,-24,27,22,-36,-12,17,-13,-37
8,8,57,Austria,EURPOE,14.14,47.593,AUT,1,127,26,-9,12,4,-15,22,20,21,-16,-25,34,-8,4,5,-10,-15,-23,23,-7,13,13,2,-47,14,-5,-10,6,-29,-76,16,-12,-42,33,-27,17,-17,11,10,9,-25,11,-23,-14,-8,40,-11,43,-63,-8,15,13,-13,13,-37,81,-53,12,-51,88,-66,37,19,-35,17,10,-10,0,0,0,-71,20,24,-33,-22,72,52,-23,-14,14,-19,19,-35,-13,19,-12,28,14,-19,-37,42,-22,11,-5,25,-58,40,-32,32,-18,23,10,-40,40,-40,40,-15,-11,11,-18,28,4,-27,47,-41,25,-20,-48
9,9,29200,Lafayette-West Lafayette, IN,-86.93,40.51,USA,1,40,12,0,0,38,-38,21,60,-16,-58,36,-21,64,-27,-43,26,23,-31,0,-18,33,35,-54,-4,-20,-40,62,4,-40,17,0,-11,-19,48,-24,-11,27,-40,-15,0,0,22,-14,-36,10,-22,31,16,0,-60,-15,40,0,10,26,14,-85,40,0,28,-40,31,-58,50,-50,80,-15,0,-28,10,-35,25,66,-112,66,0,0,33,-33,33,-80,58,-93,66,22,-10,10,9,-9,0,0,51,-61,-25,44,-58,95,-34,22,18,-40,0,-28,36,-36,20,0,16,51,-44,-24,-20,43,-7,0,0,-60,-33
