GEOID,geoName,geoRegion,geoLON,geoLAT,ISO3,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020
164,Portugal,EURPOE,-8.467,39.603,PRT,200,92,62,43,37,23,25,22,18,14,11,14,14,11,9,6,6,2,1,2,1,0,2,1,0,-1,-3,0,-2,-2,-2,-1,-2,-4,-4,-3,-8,-6,-5,-6,-5,-6,-6,-6,-7,-7,-4,-2,-1,-1,-1,-2,-4,0,0,-2,-1,-2,-2,2,0,0,1,-1,2,1,2,-1,0,0,0,3,-1,0,0,0,0,0,-2,0,0,-1,0,0,0,-2,1,-1,-2,4,-2,0,0,-4,0,1,0,0,0,-1,0,1,3,-4,0,-1,-1,2,-1,1,0,-2,2,2,-1,-1,-2,4,480
205,United Kingdom,EURPOE,-2.9,54.16,GBR,200,110,67,53,37,28,23,22,21,17,14,12,10,10,9,8,5,3,2,2,2,1,0,1,0,0,0,0,-1,-2,-1,0,0,-1,-2,-3,-4,-5,-3,-4,-5,-5,-5,-5,-6,-7,-7,-7,-6,-5,-4,-4,-4,-4,-2,-1,-2,-2,-1,-1,-2,-1,0,-1,-2,-1,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,0,0,-1,0,-1,0,0,-1,-1,0,2521
39300,Providence-Warwick, RI-MA,-71.4,41.72,USA,200,96,55,35,25,20,18,14,13,13,10,9,7,8,4,3,2,1,0,1,0,1,2,1,0,1,1,1,1,-1,-3,-1,1,-2,-1,-3,-4,-5,-3,-5,-4,-5,-7,-5,-3,-5,-7,-2,-5,-4,-1,-1,-1,0,-1,-1,-2,-3,0,0,0,-1,-1,0,-3,0,-1,0,0,0,0,-1,-1,0,-2,0,0,-1,3,0,1,-3,0,2,2,1,0,1,1,0,1,0,0,2,0,2,1,-1,0,2,1,0,1,1,0,3,0,1,2,1,0,0,1,2,0,0,0,0,959
14460,Boston-Cambridge-Newton, MA-NH,-71.1,42.56,USA,200,98,51,35,31,24,20,17,14,12,12,10,10,11,8,5,3,2,1,1,0,1,1,1,1,0,0,-1,-3,-3,-2,-2,-2,-2,-2,-4,-5,-6,-6,-5,-6,-6,-6,-6,-5,-5,-6,-6,-4,-4,-3,-2,-2,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,-1,0,0,0,0,1,0,0,-1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,2,2,1,0,1,0,3,2,0,0,0,1,0,0,0,-1,2341
71,Germany,EURPOE,10.392,51.11,DEU,200,97,58,50,32,27,24,20,17,14,12,10,9,10,7,6,4,0,1,0,0,0,0,0,0,0,-1,-2,-2,-3,-2,-2,-3,-3,-4,-5,-7,-6,-8,-6,-6,-6,-7,-8,-8,-6,-4,-4,-1,-2,-3,-2,0,-1,0,0,0,0,2,0,-3,-2,0,-1,0,1,0,-1,0,-1,0,-1,-3,0,0,1,-1,1,0,-1,-1,0,1,1,1,1,0,-1,1,-1,0,0,3,2,1,1,-1,0,-1,0,1,2,2,1,0,0,0,0,-1,0,0,0,3,2,0,0,-2,1,1333
47260,Virginia Beach-Norfolk-Newport News, VA-NC,-76.45,36.84,USA,200,103,65,46,32,18,19,16,17,15,14,10,6,7,6,7,5,2,1,0,0,1,1,3,2,2,3,1,1,-1,-2,1,1,2,0,-1,-3,-5,-5,-4,-4,-3,-5,-5,-5,-6,-8,-7,-4,-5,-2,-6,-3,-4,-2,-5,-2,-1,-2,-7,0,0,-2,3,-2,2,0,-1,0,3,1,-1,0,2,1,0,-1,-2,0,3,-1,1,2,0,-1,3,6,1,0,1,2,0,7,0,2,1,-2,1,3,1,3,3,1,0,1,2,-3,1,0,4,4,0,0,3,0,0,2,1,698
19100,Dallas-Fort Worth-Arlington, TX,-97.03,32.82,USA,200,113,62,45,27,20,17,20,19,15,13,11,8,8,8,7,5,2,1,1,1,1,1,1,0,0,2,2,0,0,0,1,1,0,0,-1,-3,-3,-3,-3,-4,-6,-6,-8,-8,-10,-8,-6,-7,-6,-6,-6,-6,-3,-4,-2,-2,-2,-1,-2,-2,-2,0,-2,0,0,1,0,0,0,-1,0,0,2,0,1,0,2,2,0,1,0,1,0,2,3,3,3,3,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,2,2,3,2,1,1,0,0,0,0,0,-1,0,3165
65,France,EURPOE,2.55,46.565,FRA,200,102,61,40,33,24,22,19,20,16,12,11,11,8,8,9,4,3,1,1,0,0,-1,0,0,0,0,0,-1,-5,-2,-2,-2,-2,-3,-4,-5,-7,-7,-6,-7,-6,-7,-7,-6,-6,-7,-3,-2,-1,-2,0,-1,0,0,0,0,-3,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,-2,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,-1,0,1,0,-2,0,0,-1,-1,-1,0,0,-1,1,4,0,-2,1,1,1798
57,Austria,EURPOE,14.14,47.593,AUT,200,138,69,37,30,24,17,17,18,18,13,9,11,9,8,4,2,1,0,1,1,0,0,0,-2,0,-3,-3,-3,-5,-7,-5,-4,-7,-6,-9,-12,-14,-8,-11,-11,-12,-14,-11,-3,-5,-2,0,1,-1,-2,0,0,-2,-2,-2,3,0,1,0,3,-1,-2,4,1,2,2,2,1,3,-2,-2,-2,1,-6,-2,0,2,3,0,0,0,1,-1,-2,3,1,2,5,4,-1,-3,-2,0,-2,1,-4,0,0,0,0,0,0,-2,3,-2,2,0,0,-1,1,0,3,0,4,0,0,1,253
29200,Lafayette-West Lafayette, IN,-86.93,40.51,USA,200,85,50,33,25,28,15,16,24,17,8,10,7,13,6,1,2,4,1,0,0,1,0,-2,1,-2,-2,-5,-2,-1,-2,-4,-2,-3,1,-3,-8,0,-3,-2,0,-4,-3,-1,-4,-4,-4,-1,-5,-2,-5,-9,-3,-2,-1,0,0,-4,0,0,2,-2,-1,-5,2,0,3,2,1,-2,-3,0,0,6,-5,1,0,2,2,2,0,-4,0,-3,-1,2,0,-5,4,0,0,0,2,0,-5,3,-3,9,2,3,5,1,0,0,1,0,-3,1,3,6,4,-3,-1,0,-2,0,0,-1,165
